theta	divergence	ratio
53.9838201584	143	0.374887639989
31.7089429086	61	0.511434563042
50.5770742261	54	0.919583167748
39.8327216703	84	0.468620254945
32.2330576674	44	0.716290170387
29.6124838733	38	0.75929445829
32.4951150468	81	0.396281890815
19.6543034557	41	0.467959606089
25.9436805616	75	0.341364217916
18.8681313175	37	0.496529771514
24.1092789057	35	0.669702191825
12.5787542117	23	0.52411475882
20.440475594	38	0.52411475882
13.1028689705	32	0.39705663547
20.440475594	25	0.78617213823
13.1028689705	18	0.689624682658
16.5096149028	44	0.366880331174
9.69612303817	17	0.53867350212
12.3166968323	24	0.492667873291
20.9645903528	49	0.419291807056
8.12377876171	16	0.477869338924
12.3166968323	28	0.424713683871
16.5096149028	22	0.717809343601
17.0337296616	26	0.630878876357
9.69612303817	16	0.570360178716
33.8054019439	92	0.363498945633
15.985500144	17	0.888083341334
20.440475594	58	0.346448738881
12.0546394529	14	0.80364263019
20.7025329734	29	0.690084432446
13.8890411087	20	0.661382909939
14.4131558675	24	0.576526234702
13.6269837293	27	0.486677990333
18.6060739381	36	0.502866863192
14.675213247	29	0.489173774899
11.530524694	22	0.50132716061
19.6543034557	28	0.677734601922
12.5787542117	34	0.359392977476
12.8408115911	22	0.558296156134
18.8681313175	20	0.898482443691
11.2684673146	13	0.804890522473
11.0064099352	16	0.647435878542
22.0128198704	56	0.386189822288
12.3166968323	27	0.439882029724
22.2748772498	71	0.309373295137
20.1784182146	47	0.420383712803
13.8890411087	32	0.420880033598
6.28937710584	10	0.571761555076
14.9372706264	33	0.439331489011
11.530524694	27	0.411804453358
13.3649263499	31	0.417653948435
13.6269837293	37	0.358604834982
8.90995089994	12	0.685380838457
24.3713362851	54	0.443115205184
9.95818041758	13	0.711298601256
10.7443525558	24	0.429774102232
12.3166968323	27	0.439882029724
17.2957870411	37	0.455152290554
11.530524694	26	0.42705647015
14.4131558675	33	0.423916349045
9.69612303817	28	0.334349070282
5.76526234702	9	0.576526234702
10.7443525558	21	0.488379661628
13.8890411087	31	0.434032534648
11.0064099352	20	0.52411475882
11.530524694	22	0.50132716061
9.95818041758	17	0.553232245421
13.6269837293	19	0.681349186466
11.2684673146	23	0.469519471443
15.1993280058	33	0.447039058993
9.69612303817	22	0.421570566877
8.12377876171	19	0.406188938085
15.4613853852	26	0.572643903155
9.43406565876	22	0.410176767772
17.0337296616	34	0.486677990333
6.02731972643	7	0.753414965804
11.7925820734	28	0.406640761153
15.7234427646	27	0.561551527307
4.97909020879	9	0.497909020879
17.0337296616	25	0.655143448525
14.1510984881	23	0.589629103672
6.55143448525	17	0.363968582514
13.6269837293	39	0.340674593233
7.59966400289	15	0.474979000181
10.4822951764	22	0.455751964191
13.6269837293	15	0.851686483082
17.0337296616	39	0.425843241541
8.64789352053	19	0.432394676026
14.1510984881	17	0.78617213823
7.59966400289	10	0.690878545717
10.7443525558	26	0.397938983548
6.81349186466	15	0.425843241541
15.985500144	30	0.515661294968
11.0064099352	24	0.440256397409
12.5787542117	30	0.405766264893
3.40674593233	5	0.567790988722
5.50320496761	9	0.550320496761
10.220237797	11	0.851686483082
9.69612303817	19	0.484806151908
2.88263117351	5	0.480438528918
14.4131558675	37	0.379293575462
9.43406565876	18	0.496529771514
10.220237797	17	0.567790988722
8.38583614112	12	0.645064318548
5.2411475882	8	0.582349732022
18.3440165587	26	0.679408020692
5.76526234702	15	0.360328896689
7.59966400289	21	0.345439272859
11.530524694	17	0.640584705224
4.97909020879	13	0.355649300628
9.69612303817	19	0.484806151908
19.9163608352	62	0.316132711669
11.0064099352	20	0.52411475882
12.0546394529	18	0.634454708045
16.5096149028	35	0.458600413967
7.59966400289	16	0.447039058993
12.0546394529	32	0.365292104632
12.8408115911	9	1.28408115911
7.59966400289	12	0.584589538684
8.12377876171	17	0.451321042317
10.4822951764	14	0.698819678426
12.5787542117	35	0.349409839213
10.220237797	22	0.444358165086
12.5787542117	26	0.465879785618
8.90995089994	18	0.468944784207
9.17200827935	13	0.655143448525
7.8617213823	15	0.491357586394
4.71703282938	10	0.428821166307
12.3166968323	29	0.410556561076
